result;i;i <= 25;i++;kata1();return result;;
' ';1;true;2;-;-;;
"1 ";2;true;3;-;-;;
"1 2 ";3;true;4;-;-;;
"1 2 3 ";4;true;5;-;-;;
"1 2 3 4 ";5;true;6;-;1 2 3 4 5...;;
;;;;;;;
;;;;;;;
-----------------;------------------;------------------;-----------------;-----------------;------------------;;
result;i;i >= 1;i--;kata2();return result;;
' ';25;true;24;-;-;;
"25 ";24;true;23;-;-;" ";
25 24;23;true;22;-;-;;
25 24 23;22;true;21;-;-;;
25 24 23 22;21;true;20;-;25 24 23 22 21...;;
;;;;;;;
;;;;;;;
-----------------;------------------;------------------;-----------------;-----------------;------------------;;
result;i;i < 0;i--;kata3();return result;;
' ';-1;true;-2;-;-;;
-1;-2;true;-3;-;-;;
-1 -2;-3;true;-4;-;-;;
-1 -2 -3;-4;true;-5;-;-;;
-1 -2 -3 -4;-5;true;-6;-;-1 -2 -3 -4 -5...;;
;;;;;;;
;;;;;;;
-----------------;------------------;------------------;-----------------;-----------------;------------------;;
result;i;i < 0;i++;kata4();return result;;
' ';-25;true;-24;-;-;;
-25;-24;true;-23;-;-;;
-25 -24;-23;true;-22;-;-;;
-25 -24 -23;-22;true;-21;-;-;;
-25 -24 -23 -22;-21;true;-20;-;-25 -24 -23 -22 -21;;
;;;;;;;
;;;;;;;
-----------------;------------------;------------------;-----------------;-----------------;------------------;;
result;i;i <= 25;i++;kata5();return result;;
' ';-25;true;-24;-;-;;
-25;-24;true;-23;-;-;;
-25 -23;-23;true;-22;-;-;;
-25 -23 -21;-22;true;-21;-;-;;
-25 -23 -21 -19;-21;true;-20;-;-25 -23 -21 -19 -17;;
;;;;;;;